id	smiles	Mw	Qed	logP	Mr	HBD	HBA	RB	TPSA	AromaticRings	FractionCSP3
TKC000006	Cc1c2c(cc3c1C(=O)C(=O)C1=C3OC[C@@H]1C)C(C)(C)CCC2	1	8	10	14	17	21	25	29	34	38
TKC000040	C=C1CCCC(C)(C)[C@H]1CC[C@]1(C)CC[C@@H]([C@@H](C)C(=O)OC)OO1	1	7	10	14	17	21	26	29	33	40
TKC000066	CC(C)=CCCc1c(C)ccc2c1C(=O)C(=O)C(C(C)C)=C2	1	7	10	14	17	21	25	29	34	38
TKC000078	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)[C@@H]4C[C@]4(C)[C@]3(O)CC[C@@H]2C1	1	8	10	14	17	21	25	29	33	39
TKC000085	C/C1=C\C[C@@H](C2=CC[C@H](C(C)(C)O)OC2)CC/C(C)=C/CC1	1	8	10	14	17	21	25	29	33	39
TKC000151	C=C[C@]1(C)C=C2C(=O)C(O)=C3[C@@]4(C[C@@H]4C[C@@H](OC(C)=O)[C@@]3(C)COC(=O)C(C)C)[C@@]2(O)CC1	2	7	10	14	17	22	26	30	33	39
TKC000266	C=C(C)[C@@]12OC3(C)O[C@@H]1[C@@H]1C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(=O)c1ccccc1	2	7	10	14	17	22	25	30	34	38
TKC000269	C=C(C)[C@]12C[C@@H](C)[C@@]34OC(c5ccccc5)(OC1[C@@H]3[C@@H]1O[C@]1(COC(=O)c1ccccc1)[C@@H](O)[C@]1(O)[C@@H](O)[C@@H](C)C[C@H]14)O2	2	6	10	15	18	22	26	31	35	38
TKC000273	C=C(C)[C@]12C[C@@H](C)[C@@]34OC(c5ccccc5)(O[C@@H]1[C@@H]3[C@@H]1O[C@]1(CO)[C@@H](O)[C@]1(O)[C@@H](O)[C@@H](C)C[C@H]14)O2	2	6	10	14	18	22	25	31	34	39
TKC000295	C[C@H]1C[C@]2(OC(=O)/C=C/c3ccccc3)C(=O)[C@@]3(C)[C@H]4[C@H](CC[C@@]3(C)[C@H](O)[C@H]2[C@H]1O)C(C)(C)[C@@H]4O	2	7	10	14	18	22	25	30	34	39
TKC000357	CC1(C)CCC[C@@]2(C)C1=C(O)C(=O)c1c(O)c3c(c(O)c12)O[C@@H](CO)C3	1	7	10	14	18	22	25	30	34	38
TKC000359	COC1=C2C(C)(C)CCC[C@]2(C)c2c(c(O)c3cc(CO)oc3c2O)C1=O	1	8	10	14	18	22	25	30	35	38
TKC000445	C=C1C[C@@H]2O[C@H]3[C@H]4[C@@H](C[C@@H](C)[C@@H](OC(C)=O)[C@@H]24)[C@@H](C)CO[C@@]3(C)[C@H](OC(C)=O)C[C@H]1O	2	7	10	14	17	22	25	30	33	40
TKC000449	C=C1C[C@@H]2O[C@H]3[C@H]4[C@@H](C[C@@H](C)[C@@H](OC(C)=O)[C@@H]24)[C@@H](C)CO[C@@]3(C)[C@H](OC(=O)CCCCCCC)CC1=O	2	6	11	14	17	22	26	30	33	40
TKC000450	C=C1C[C@@H]2O[C@H]3[C@H]4[C@@H](C[C@@H](C)[C@@H](OC(C)=O)[C@@H]24)[C@@H](C)CO[C@@]3(C)[C@H](OC(=O)CCCCCCC)C[C@H]1O	2	6	10	14	17	22	26	30	33	40
TKC000482	C=C(C)[C@H]1CCC2=C[C@@H](C[C@]3(C)O[C@H]3c3cc(C(=O)OC)c(o3)C1)OC2=O	1	7	10	14	17	22	25	30	34	38
TKC000563	C=C1C[C@@H]2OC(=O)C3=CCC[C@H]4[C@]15C[C@H](c1ccoc1)O[C@H]5OC(=O)[C@]324	1	7	10	14	17	22	25	30	34	38
TKC000702	C[C@@]12CC[C@@H]3C(=C[C@H]4OC(=O)[C@]5(C)[C@H]4[C@]34CC[C@@]5(O)OC4)[C@@H]1OC[C@H]2O	1	7	10	14	17	22	25	30	33	40
TKC000707	C[C@H]1Cc2c(O)c3c(c(O)c2O1)[C@@]1(C)CCC(=O)C(C)(C)C1=C(O)C3=O	1	8	10	14	18	22	25	30	34	38
TKC000724	C=C1C(=O)[C@]23C[C@H]1C[C@@H](O)[C@H]2[C@]12CO[C@@H]4OC[C@](C)(CC[C@@H]1OC3=O)[C@@H]42	1	6	10	14	17	22	25	30	33	40
